episode_id,t_in_episode,task_name,instruction,state_global_index,num_actions,action_dim,plot_path,percluster_plot_path,clusters_csv,left_img_path,wrist_img_path
ep000001,42,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,0,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000042_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000042_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000042_minkowski.csv,images/ep000001/state_000042_left.jpg,images/ep000001/state_000042_wrist.jpg
ep000001,43,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,1,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000043_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000043_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000043_minkowski.csv,images/ep000001/state_000043_left.jpg,images/ep000001/state_000043_wrist.jpg
ep000001,44,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,2,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000044_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000044_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000044_minkowski.csv,images/ep000001/state_000044_left.jpg,images/ep000001/state_000044_wrist.jpg
ep000001,45,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,3,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000045_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000045_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000045_minkowski.csv,images/ep000001/state_000045_left.jpg,images/ep000001/state_000045_wrist.jpg
ep000001,46,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,4,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000046_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000046_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000046_minkowski.csv,images/ep000001/state_000046_left.jpg,images/ep000001/state_000046_wrist.jpg
ep000001,47,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,5,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000047_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000047_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000047_minkowski.csv,images/ep000001/state_000047_left.jpg,images/ep000001/state_000047_wrist.jpg
ep000001,48,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,6,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000048_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000048_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000048_minkowski.csv,images/ep000001/state_000048_left.jpg,images/ep000001/state_000048_wrist.jpg
ep000001,49,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,7,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000049_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000049_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000049_minkowski.csv,images/ep000001/state_000049_left.jpg,images/ep000001/state_000049_wrist.jpg
ep000001,50,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,8,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000050_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000050_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000050_minkowski.csv,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,51,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,9,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000051_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000051_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000001/state_000051_minkowski.csv,images/ep000001/state_000051_left.jpg,images/ep000001/state_000051_wrist.jpg
